#,Type,Values,Description
1,E1,30.239,angle' sensing event
2,E1,1109103.844,magnitude' sensing event
3,E1,[ Phasor #3: PV 1109103.844 V 30.239� alt 958190.5317 + j(558553.7054)V ],network packet message event
4,E2,"{""data"":{""measurements"":[{""name"":""gridappd-sensor-simulator"",""points"":[{""key"":""entry"",""value"":""OUTPUT""},{""key"":""angle"",""value"":""30.239""},{""key"":""magnitude"",""value"":""1109103.844""},{""key"":""phasor"",""value"":""1109103.844 V ∠30.239° alt 958190.5317 + j(558553.7054)V""},{""key"":""simulation_id"",""value"":""699709772""}]}],""responseComplete"":true}}",response object
5,E4,TRUE,conditional check
6,E6,958190.5317,equipement_p_meas
7,E7,558553.7054,equipement_q_meas
8,E9,T,intermediate program variable #1
9,E9,T,intermediate program variable #2
10,E12,188095,forward.value
11,E11,172381,reverse.value
12,E14,"{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":188095}",forward_differences
13,E13,"{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":172381}",reverse_differences
14,E13,"{""simulation_id"":""699709772"",""message"":{""timestamp"":1722386247,""difference_mrid"":""84415950-df9b-4ab4-a7f8-f8cf88877e4b"",""reverse_differences"":[{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":172381}],""forward_differences"":[{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":188095}]} }",message.input
15,E15,"{""command"":""update"",""input"":{""simulation_id"":""699709772"",""message"":{""timestamp"":1722386247,""difference_mrid"":""84415950-df9b-4ab4-a7f8-f8cf88877e4b"",""reverse_differences"":[{""object"":""12D858BE-B11A-499E-BE9C-CF79605B4BAB"",""attribute"":""PowerElectronicsConnection.p"",""value"":172381}],""forward_differences"":[{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":188095}]} }}",message
